"ACQDATE","ACQYEAR","ASSISTED_PAYOUT_FLAG","BANK_INSURED","CERT","CHANGECODE","CHANGECODE_DESC","CHANGECODE_DESC_LONG","CHARTAGENT","CHARTER_COM_TO_OTHER_FLAG","CHARTER_COM_TO_OTS_FLAG","CHARTER_OTHER_TO_COM_FLAG","CHARTER_OTS_TO_COM_FLAG","CLASS","CLASS_CHANGE_FLAG","CLASS_TYPE","CLASS_TYPE_DESC","CLCODE","CNTYNAME","CNTYNUM","EFFDATE","EFFYEAR","ENDDATE","ENDYEAR","ESTDATE","ESTYEAR","FAILED_COM_TO_COM_FLAG","FAILED_OTHER_TO_COM_FLAG","FAILED_OTS_TO_COM_FLAG","FAILED_OTS_TO_OTS_FLAG","FAILED_RTC_FLAG","FDICREGION","FDICREGION_DESC","FI_EFFDATE","FI_UNINUM","FRM_CLASS","FRM_CLASS_TYPE","FRM_CLASS_TYPE_DESC","FRM_CLCODE","FRM_CNTYNUM","FRM_INSAGENT1","FRM_ORGTYPE_NUM","FRM_PSTALP","FRM_PSTNUM","FRM_REGAGENT","ID","INSAGENT1","INSAGENT1_CHANGE_FLAG","INSAGENT2","INSTNAME","INSURED_COM_FLAG","INSURED_OTS_FLAG","LATITUDE","LONGITUDE","MADDR","MCITY","MSTALP","MSTATE","MZIP5","MZIPREST","NEW_CHARTER_DENOVO_FLAG","NEW_CHARTER_FLAG","OFF_CNTYNUM","OFF_NUM","ORGTYPE","ORGTYPE_NUM","ORG_ROLE_CDE","ORG_STAT_FLG","PADDR","PCITY","PROCDATE","PROCYEAR","PSTALP","PZIP5","PZIPREST","REGAGENT","REGAGENT_CHANGE_FLAG","RELOCATE_FLAG","REPORT_TYPE","SERVTYPE","SERVTYPE_DESC","STATE","STNUM","TRANSNUM","TRUST","UNASSIST_COM_TO_COM_FLAG","UNASSIST_COM_TO_OTS_FLAG","UNASSIST_OTHER_TO_COM_FLAG","UNASSIST_OTS_TO_COM_FLAG","UNASSIST_OTS_TO_OTS_FLAG","UNINUM","VOLUNTARY_LIQUIDATION_FLAG","WITHDRAW_INSURANCE_COM_FLAG","FRM_CERT","FRM_CHARTAGENT","FRM_CNTYNAME","FRM_INSTNAME","FRM_ORGTYPE","FRM_PADDR","FRM_PCITY","FRM_PZIP5","FRM_PZIPREST","FRM_TRUST"
"2005-06-12T00:00:00","2005","0","Y","35324","110","NEW INSTITUTION","Institution established. Original name: The Bank of Northern Michigan ().","STATE","0","0","0","0","NM","0","C","Commercial","21","EMMET","47","2000-01-18T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-18T00:00:00","2000","0","0","0","0","0","9","CHICAGO","","0","NM","C","Commercial","0","0","BIF","0","MI","0","FDIC","200000326_110_78230__","BIF","0","","The Bank of Northern Michigan","0","0","45.375867","-84.955458","406 BAY STREET","PETOSKEY","MI","MICHIGAN","49770","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","201 HOWARD STREET","PETOSKEY","2000-01-18T00:00:00","2000","MI","49770","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","MICHIGAN","26","200000326","","0","0","0","0","0","78230","0","0","","","","","","","","","",""
"2000-10-19T00:00:00","2000","0","Y","35300","110","NEW INSTITUTION","Institution established. Original name: Heritage Bank South Valley ().","STATE","0","0","0","0","NM","0","C","Commercial","21","SANTA CLARA","85","2000-01-18T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-18T00:00:00","2000","0","0","0","0","0","14","SAN FRANCISCO","","0","NM","C","Commercial","0","0","BIF","0","CA","0","FDIC","200000338_110_77690__","BIF","0","","Heritage Bank South Valley","0","0","37.150325","-121.657833","18625 SUTTER DRIVE","MORGAN HILL","CA","CALIFORNIA","95037","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","18625 SUTTER DRIVE","MORGAN HILL","2000-01-18T00:00:00","2000","CA","95037","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","CALIFORNIA","6","200000338","","0","0","0","0","0","77690","0","0","","","","","","","","","",""
"2001-08-16T00:00:00","2001","0","Y","35516","110","NEW INSTITUTION","Institution established. Original name: Citizens Bank ().","STATE","0","0","0","0","NM","0","C","Commercial","21","WARREN","181","2000-01-15T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-15T00:00:00","2000","0","0","0","0","0","11","KANSAS CITY","","0","NM","C","Commercial","0","0","BIF","0","IA","0","FDIC","200000342_110_81169__","BIF","0","","Citizens Bank","0","0","41.498625","-93.486567","10101 UNIVERSITY AVENUE","CLIVE","IA","IOWA","50325","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","100 FIRST STREET","CARLISLE","2000-01-18T00:00:00","2000","IA","50047","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","IOWA","19","200000342","Full","0","0","0","0","0","81169","0","0","","","","","","","","","",""
"2006-03-29T00:00:00","2006","0","Y","35090","110","NEW INSTITUTION","Institution established. Original name: First Community Bank ().","STATE","0","0","0","0","NM","0","C","Commercial","21","TANGIPAHOA","105","2000-01-19T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-19T00:00:00","2000","0","0","0","0","0","13","DALLAS","","0","NM","C","Commercial","0","0","BIF","0","LA","0","FDIC","200000360_110_74668__","BIF","0","","First Community Bank","0","0","30.49804","-90.460145","600 SOUTHWEST RAILROAD AVENUE","HAMMOND","LA","LOUISIANA","70403","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","600 SOUTHWEST RAILROAD AVENUE","HAMMOND","2000-01-19T00:00:00","2000","LA","70403","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","LOUISIANA","22","200000360","","0","0","0","0","0","74668","0","0","","","","","","","","","",""
"2001-01-25T00:00:00","2001","0","Y","35348","110","NEW INSTITUTION","Institution established. Original name: Oklahoma National Bank ().","OCC","0","0","0","0","N","0","C","Commercial","3","TULSA","143","2000-01-20T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-20T00:00:00","2000","0","0","0","0","0","13","DALLAS","","0","N","C","Commercial","0","0","BIF","0","OK","0","OCC","200000395_110_78809__","BIF","0","","Oklahoma National Bank","0","0","36.033622","-95.922175","8908 South Yale, Suite 100","Tulsa","OK","OKLAHOMA","74137","3561","1","1","0","0","COMMERCIAL BANK","10","FI","N","8908 SOUTH YALE AVENUE","TULSA","2000-01-21T00:00:00","2000","OK","74137","0000","OCC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","OKLAHOMA","40","200000395","","0","0","0","0","0","78809","0","0","","","","","","","","","",""
"2000-06-11T00:00:00","2000","0","Y","35283","110","NEW INSTITUTION","Institution established. Original name: Centennial Bank ().","STATE","0","0","0","0","NM","0","C","Commercial","21","MOORE","125","2000-01-24T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-24T00:00:00","2000","0","0","0","0","0","5","ATLANTA","","0","NM","C","Commercial","0","0","BIF","0","NC","0","FDIC","200000433_110_77672__","BIF","0","","Centennial Bank","0","0","35.168668","-79.402401","185 WEST MORGANTON ROAD","SOUTHERN PINES","NC","NORTH CAROLINA","28387","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","185 WEST MORGANTON ROAD","SOUTHERN PINES","2000-01-24T00:00:00","2000","NC","28387","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","NORTH CAROLINA","37","200000433","","0","0","0","0","0","77672","0","0","","","","","","","","","",""
"2006-03-29T00:00:00","2006","0","Y","35302","110","NEW INSTITUTION","Institution established. Original name: The Citizens National Bank of Southwestern Ohio ().","OCC","0","0","0","0","N","0","C","Commercial","3","MONTGOMERY","113","2000-01-24T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-24T00:00:00","2000","0","0","0","0","0","9","CHICAGO","","0","N","C","Commercial","0","0","BIF","0","OH","0","OCC","200000434_110_77692__","BIF","0","","The Citizens National Bank of Southwestern Ohio","0","0","39.659094","-84.160228","29 WEST WHIPP ROAD","DAYTON","OH","OHIO","45459","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","29 WEST WHIPP ROAD","DAYTON","2000-01-24T00:00:00","2000","OH","45459","0000","OCC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","OHIO","39","200000434","","0","0","0","0","0","77692","0","0","","","","","","","","","",""
"2005-02-21T00:00:00","2005","0","Y","35379","110","NEW INSTITUTION","Institution established. Original name: Horizon Bank ().","STATE","0","0","0","0","NM","0","C","Commercial","21","DEKALB","89","2000-01-24T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-24T00:00:00","2000","0","0","0","0","0","5","ATLANTA","","0","NM","C","Commercial","0","0","BIF","0","GA","0","FDIC","200000477_110_78847__","BIF","0","","Horizon Bank","0","0","33.810391","-84.275614","6340 SUGARLOAF PARKWAY, SUITE 100","DULUTH","GA","GEORGIA","30097","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","1059 MISTLETOE ROAD","DECATUR","2000-01-27T00:00:00","2000","GA","30033","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","GEORGIA","13","200000477","","0","0","0","0","0","78847","0","0","","","","","","","","","",""
"2001-01-31T00:00:00","2001","0","Y","35439","110","NEW INSTITUTION","Institution established. Original name: Bank of Brookhaven ().","STATE","0","0","0","0","NM","0","C","Commercial","21","LINCOLN","85","2000-01-31T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-31T00:00:00","2000","0","0","0","0","0","13","DALLAS","","0","NM","C","Commercial","0","0","BIF","0","MS","0","FDIC","200000525_110_80038__","BIF","0","","Bank of Brookhaven","0","0","31.580595","-90.447813","411 BROOKWAY BOULEVARD","BROOKHAVEN","MS","MISSISSIPPI","39601","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","411 BROOKWAY BOULEVARD","BROOKHAVEN","2000-01-31T00:00:00","2000","MS","39601","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","MISSISSIPPI","28","200000525","","0","0","0","0","0","80038","0","0","","","","","","","","","",""
"2004-05-26T00:00:00","2004","0","Y","34998","110","NEW INSTITUTION","Institution established. Original name: First Intercontinental Bank ().","STATE","0","0","0","0","NM","0","C","Commercial","21","DEKALB","89","2000-01-31T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-31T00:00:00","2000","0","0","0","0","0","5","ATLANTA","","0","NM","C","Commercial","0","0","BIF","0","GA","0","FDIC","200000526_110_73820__","BIF","0","","First Intercontinental Bank","0","0","33.90345","-84.273007","5593 BUFORD HIGHWAY","DORAVILLE","GA","GEORGIA","30340","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","5593 BUFORD HIGHWAY","DORAVILLE","2000-01-31T00:00:00","2000","GA","30340","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","GEORGIA","13","200000526","","0","0","0","0","0","73820","0","0","","","","","","","","","",""
"2003-03-25T00:00:00","2003","0","Y","35314","110","NEW INSTITUTION","Institution established. Original name: Alamerica Bank ().","STATE","0","0","0","0","NM","0","C","Commercial","21","JEFFERSON","73","2000-01-28T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-28T00:00:00","2000","0","0","0","0","0","5","ATLANTA","","0","NM","C","Commercial","0","0","BIF","0","AL","0","FDIC","200000529_110_78220__","BIF","0","","Alamerica Bank","0","0","33.54437","-86.708501","2170 HIGHLAND AVENUE","BIRMINGHAM","AL","ALABAMA","35205","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","2170 HIGHLAND AVENUE","BIRMINGHAM","2000-01-31T00:00:00","2000","AL","35205","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","ALABAMA","1","200000529","","0","0","0","0","0","78220","0","0","","","","","","","","","",""
"2000-07-30T00:00:00","2000","0","Y","34658","110","NEW INSTITUTION","Institution established. Original name: Citizens Bank and Trust Company of Chicago ().","STATE","0","0","0","0","NM","0","C","Commercial","21","COOK","31","2000-01-31T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-31T00:00:00","2000","0","0","0","0","0","9","CHICAGO","","0","NM","C","Commercial","0","0","BIF","0","IL","0","FDIC","200000531_110_61035__","BIF","0","","Citizens Bank and Trust Company of Chicago","0","0","41.984706","-87.768291","5700 NORTH CENTRAL AVENUE","CHICAGO","IL","ILLINOIS","60646","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","5700 NORTH CENTRAL AVENUE","CHICAGO","2000-01-31T00:00:00","2000","IL","60646","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","ILLINOIS","17","200000531","","0","0","0","0","0","61035","0","0","","","","","","","","","",""
"2000-05-02T00:00:00","2000","0","Y","35306","110","NEW INSTITUTION","Institution established. Original name: United Commerce Bank ().","STATE","0","0","0","0","NM","0","C","Commercial","21","MONROE","105","2000-01-31T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-31T00:00:00","2000","0","0","0","0","0","9","CHICAGO","","0","NM","C","Commercial","0","0","BIF","0","IN","0","FDIC","200000532_110_77696__","BIF","0","","United Commerce Bank","0","0","39.165504","-86.534814","211 SOUTH COLLEGE AVENUE","BLOOMINGTON","IN","INDIANA","47402","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","211 SOUTH COLLEGE AVENUE","BLOOMINGTON","2000-01-31T00:00:00","2000","IN","47402","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","INDIANA","18","200000532","","0","0","0","0","0","77696","0","0","","","","","","","","","",""
"2016-02-21T00:00:00","2016","0","N","35526","110","NEW INSTITUTION","Institution established but was not FDIC insured. Original name: Simmons First Trust Company, National Association ().","OCC","0","0","0","0","NC","0","N/A","N/A","50","JEFFERSON","69","2000-01-01T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-01T00:00:00","2000","0","0","0","0","0","13","DALLAS","","0","NC","N/A","N/A","0","0","NONE","0","AR","0","OCC","200000561_110_81320__","NONE","0","","Simmons First Trust Company, National Association","0","0","34.224847","-92.003327","P. O. BOX 7009","PINE BLUFF","AR","ARKANSAS","71611","7009","1","0","0","0","TRUST COMPANY","310","FI","N","501 MAIN STREET","PINE BLUFF","2000-02-01T00:00:00","2000","AR","71601","0000","OCC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","ARKANSAS","5","200000561","Full","0","0","0","0","0","81320","0","0","","","","","","","","","",""
"2003-03-30T00:00:00","2003","0","Y","35244","110","NEW INSTITUTION","Institution established. Original name: LandMark Bank of Florida ().","STATE","0","0","0","0","SM","0","C","Commercial","13","SARASOTA","115","2000-02-04T00:00:00","2000","9999-12-31T00:00:00","9999","2000-02-04T00:00:00","2000","0","0","0","0","0","5","ATLANTA","","0","SM","C","Commercial","0","0","BIF","0","FL","0","FED","200000646_110_76801__","BIF","0","","LandMark Bank of Florida","0","0","27.298303","-82.480876","P.O. BOX 5737","SARASOTA","FL","FLORIDA","34277","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","3939 MCINTOSH ROAD","SARASOTA","2000-02-04T00:00:00","2000","FL","34233","0000","FED","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","FLORIDA","12","200000646","","0","0","0","0","0","76801","0","0","","","","","","","","","",""
"2000-03-31T00:00:00","2000","0","Y","35223","110","NEW INSTITUTION","Institution established. Original name: American Heartland Bank and Trust ().","STATE","0","0","0","0","NM","0","C","Commercial","21","KANE","89","2000-02-07T00:00:00","2000","9999-12-31T00:00:00","9999","2000-02-07T00:00:00","2000","0","0","0","0","0","9","CHICAGO","","0","NM","C","Commercial","0","0","BIF","0","IL","0","FDIC","200000702_110_76778__","BIF","0","","American Heartland Bank and Trust","0","0","0","0","P.O. BOX 350","SUGAR GROVE","IL","ILLINOIS","60554","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","799 STAYNER ROAD","SUGAR GROVE","2000-09-08T00:00:00","2000","IL","60554","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","ILLINOIS","17","200000702","","0","0","0","0","0","76778","0","0","","","","","","","","","",""
